ByteVal,enum{//,OPCode,ToStack_0,ToStack_1,ToStack_2,ToStack_3,ToStack_4,ToStack_5,NextByte_0,NextByte_1,NextByte_2,NextByte_3,NextByte_4,NextByte_5,NextByte_6,NextByte_7,NextByte_8,NextByte_9,NextByte_10,NextByte_11,NextByte_12,NextByte_13,FromStack_0,FromStack_1,FromStack_2,FromStack_3,FromStack_4
162,,if_icmpge,,,,,,,branchbyte1, branchbyte2,,,,,,,,,,,,,value1, value2 ,,,
163,,if_icmpgt,,,,,,,branchbyte1, branchbyte2,,,,,,,,,,,,,value1, value2 ,,,
164,,if_icmple,,,,,,,branchbyte1, branchbyte2,,,,,,,,,,,,,value1, value2 ,,,
165,,if_acmpeq,,,,,,,branchbyte1, branchbyte2,,,,,,,,,,,,,value1, value2 ,,,
166,,if_acmpne,,,,,,,branchbyte1, branchbyte2,,,,,,,,,,,,,value1, value2 ,,,
167,,goto,,,,,,,branchbyte1, branchbyte2,,,,,,,,,,,,,[no change],,,,
168,,jsr, address,,,,,,branchbyte1, branchbyte2,,,,,,,,,,,,,,,,,
169,,ret,,,,,,,index,,,,,,,,,,,,,,[No change],,,,
170,,tableswitch,,,,,,,UpTo3BytesPadding, defaultbyte1, defaultbyte2, defaultbyte3, defaultbyte4, lowbyte1, lowbyte2, lowbyte3, lowbyte4, highbyte1, highbyte2, highbyte3, highbyte4, jump offsets...,index ,,,,
171,,lookupswitch,,,,,,,UpTo3BytesPadding, defaultbyte1, defaultbyte2, defaultbyte3, defaultbyte4, npairs1, npairs2, npairs3, npairs4, match-offset pairs...,,,,,key ,,,,
172,,ireturn, [empty],,,,,,,,,,,,,,,,,,,,value ,,,,
173,,lreturn, [empty],,,,,,,,,,,,,,,,,,,,value ,,,,
174,,freturn, [empty],,,,,,,,,,,,,,,,,,,,value ,,,,
175,,dreturn, [empty],,,,,,,,,,,,,,,,,,,,value ,,,,
176,,areturn, [empty],,,,,,,,,,,,,,,,,,,,objectref ,,,,
177,,return, [empty],,,,,,,,,,,,,,,,,,,,,,,,
178,,getstatic, value,,,,,,index1, index2,,,,,,,,,,,,,,,,,
179,,putstatic,,,,,,,indexbyte1, indexbyte2,,,,,,,,,,,,,value ,,,,
180,,getfield, value,,,,,,index1, index2,,,,,,,,,,,,,objectref ,,,,
181,,putfield,,,,,,,indexbyte1, indexbyte2,,,,,,,,,,,,,objectref, value ,,,
182,,invokevirtual,,,,,,,indexbyte1, indexbyte2,,,,,,,,,,,,,objectref, [arg1, arg2, ...] ,
183,,invokespecial,,,,,,,indexbyte1, indexbyte2,,,,,,,,,,,,,objectref, [arg1, arg2, ...] ,
184,,invokestatic,,,,,,,indexbyte1, indexbyte2,,,,,,,,,,,,,[arg1, arg2, ...] ,,
185,,invokeinterface,,,,,,,indexbyte1, indexbyte2, count,0,,,,,,,,,,,objectref, [arg1, arg2, ...] ,
186,,xxxunusedxxx,,,,,,,,,,,,,,,,,,,,,,,,,
187,,new, objectref,,,,,,indexbyte1, indexbyte2,,,,,,,,,,,,,,,,,
188,,newarray, arrayref,,,,,,atype,,,,,,,,,,,,,,count ,,,,
189,,anewarray, arrayref,,,,,,indexbyte1, indexbyte2,,,,,,,,,,,,,count ,,,,
190,,arraylength, length,,,,,,,,,,,,,,,,,,,,arrayref ,,,,
191,,athrow, [empty], objectref,,,,,,,,,,,,,,,,,,,objectref ,,,,
192,,checkcast, objectref,,,,,,indexbyte1, indexbyte2,,,,,,,,,,,,,objectref ,,,,
193,,instanceof, result,,,,,,indexbyte1, indexbyte2,,,,,,,,,,,,,objectref ,,,,
194,,monitorenter,,,,,,,,,,,,,,,,,,,,,objectref ,,,,
195,,monitorexit,,,,,,,,,,,,,,,,,,,,,objectref ,,,,
196,,wide,,,,,,,opcode, indexbyte1, indexbyte2 or iinc, indexbyte1, indexbyte2, countbyte1, countbyte2,,,,,,,,[same as for corresponding instructions],,,,
197,,multianewarray, arrayref,,,,,,indexbyte1, indexbyte2, dimensions,,,,,,,,,,,,count1, [count2,...] ,,
198,,ifnull,,,,,,,branchbyte1, branchbyte2,,,,,,,,,,,,,value ,,,,
199,,ifnonnull,,,,,,,branchbyte1, branchbyte2,,,,,,,,,,,,,value ,,,,
200,,goto_w,,,,,,,branchbyte1, branchbyte2, branchbyte3, branchbyte4,,,,,,,,,,,[no change],,,,
201,,jsr_w, address,,,,,,branchbyte1, branchbyte2, branchbyte3, branchbyte4,,,,,,,,,,,,,,,
202,,breakpoint,,,,,,,,,,,,,,,,,,,,,,,,,
254,,impdep1,,,,,,,,,,,,,,,,,,,,,,,,,
